"age","city","occupation","gender","income"
33,"Eger","Sales Representative","Female",185339.624328439
37,"Budapest","Manager","Male",432344.425124574
59,"Debrecen","Teacher","Female",572905.060935136
41,"Budapest","Nurse","Male",485802.128689842
42,"Pécs","Sales Representative","Male",349984.270964611
61,"Budapest","Teacher","Male",601729.656635803
46,"Budapest","Manager","Male",557119.664052903
25,"Szeged","Teacher","Male",214263.171356855
32,"Szeged","Software Developer","Male",495036.109386518
35,"Debrecen","Sales Representative","Male",314127.162696128
55,"Pécs","Driver","Male",470792.360845795
44,"Budapest","Sales Representative","Female",480426.573732536
45,"Szombathely","Sales Representative","Male",317590.820912965
41,"Budapest","Sales Representative","Female",488694.531035216
33,"Debrecen","Software Developer","Female",405143.040116734
61,"Győr","Sales Representative","Male",509982.770855703
46,"Budapest","Engineer","Male",532978.831784912
16,"Győr","Driver","Female",0
48,"Debrecen","Engineer","Female",456839.991038035
34,"Debrecen","Software Developer","Male",491215.647806879
27,"Debrecen","Software Developer","Male",334360.490729501
37,"Budapest","Teacher","Male",461344.864224491
28,"Debrecen","Sales Representative","Female",224788.25057885
31,"Budapest","Accountant","Male",364392.114778436
32,"Pécs","Software Developer","Male",411290.083863925
20,"Szeged","Engineer","Male",300146.800412745
50,"Budapest","Accountant","Female",535048.644587112
42,"Pécs","Nurse","Male",331120.65712793
26,"Budapest","Nurse","Female",221094.254322133
55,"Pécs","Engineer","Male",474059.188390303
45,"Győr","Accountant","Male",438434.49141966
36,"Miskolc","Sales Representative","Female",220435.803361762
51,"Debrecen","Software Developer","Female",521707.298535592
51,"Budapest","Teacher","Male",601300.140150703
50,"Miskolc","Manager","Female",481230.928463212
48,"Győr","Sales Representative","Male",384765.509953149
47,"Budapest","Accountant","Male",562978.016848859
39,"Szombathely","Engineer","Male",412022.568801853
36,"Budapest","Engineer","Male",459915.5667058
35,"Debrecen","Nurse","Male",384081.9053612
32,"Debrecen","Driver","Male",380470.179038638
38,"Budapest","Software Developer","Female",571576.054891426
25,"Eger","Sales Representative","Female",127577.567927545
66,"Budapest","Sales Representative","Female",533761.776936523
54,"Eger","Nurse","Male",453565.207230276
27,"Szeged","Nurse","Female",230703.424991746
35,"Szeged","Chef","Female",309278.897898081
34,"Budapest","Accountant","Male",391286.469572562
49,"Pécs","Teacher","Female",444902.384554429
39,"Eger","Nurse","Male",408001.694199094
43,"Budapest","Teacher","Female",390380.958690239
40,"Debrecen","Teacher","Female",447603.242057787
39,"Debrecen","Nurse","Male",366520.167786862
56,"Budapest","Software Developer","Male",740151.049634294
37,"Debrecen","Sales Representative","Female",269739.588187799
58,"Budapest","Teacher","Female",581995.937458142
21,"Budapest","Sales Representative","Female",228223.135809439
